sample,sample_label,window,group,decade,outcome,outcome_label,panel,n_cell,n_usable,fitted,score_gap_min,illiberal_cutoff,other_cutoff_max,n,est,se,pval,ci_lo,ci_hi,bw
full,All scored elections,1,OECD,1980s,Y_hog_power,Executive power (ET): HOG,exec_power,74,49,TRUE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1980s,Y_hos_power_vdem,Executive power (V-Dem): HOS (v2ex_hosw),exec_power_alt,74,74,TRUE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1980s,Y_hog_power_vdem,Executive power (V-Dem): HOG (v2ex_hogw),exec_power_alt,74,74,TRUE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1980s,Y_polyarchy,V-Dem high-level democracy indices: Electoral (polyarchy),vdem_high,74,74,TRUE,-Inf,-Inf,Inf,74,0.0025227777643537725,0.005803230975492297,0.6637660303733953,-0.008851345941578371,0.013896901470285914,11.65889284605284
full,All scored elections,1,OECD,1980s,Y_libdem,V-Dem high-level democracy indices: Liberal,vdem_high,74,74,TRUE,-Inf,-Inf,Inf,74,-0.003727931961465923,0.007485812156430515,0.6184842768626426,-0.018399854183101846,0.010943990260169999,12.47236840874391
full,All scored elections,1,OECD,1980s,Y_partipdem,V-Dem high-level democracy indices: Participatory,vdem_high,74,74,TRUE,-Inf,-Inf,Inf,74,0.014454651477550543,0.0072235462002615105,0.04538738443028793,2.9676108437683146e-4,0.028612541870724255,9.09351065111209
full,All scored elections,1,OECD,1980s,Y_delibdem,V-Dem high-level democracy indices: Deliberative,vdem_high,74,74,TRUE,-Inf,-Inf,Inf,74,0.013219021114824559,0.007794618144820091,0.08990170433645354,-0.0020581497222652255,0.028496191951914343,10.892723269095333
full,All scored elections,1,OECD,1980s,Y_egaldem,V-Dem high-level democracy indices: Egalitarian,vdem_high,74,74,TRUE,-Inf,-Inf,Inf,74,0.013126853147621178,0.009649552417145735,0.17371642256691813,-0.005785922056915879,0.032039628352158234,9.59135962754043
full,All scored elections,1,OECD,1980s,Y_elecoff,V-Dem mid-level: electoral component: Elected officials,vdem_electoral,74,74,TRUE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1980s,Y_frefair,V-Dem mid-level: electoral component: Clean elections,vdem_electoral,74,74,TRUE,-Inf,-Inf,Inf,74,-0.0019230660744813284,0.00521159338631651,0.7121294245992305,-0.012137601413728825,0.008291469264766168,12.005785020571983
full,All scored elections,1,OECD,1980s,Y_frassoc,V-Dem mid-level: electoral component: Association,vdem_electoral,74,74,TRUE,-Inf,-Inf,Inf,74,0.002458533705833613,0.003367142672610409,0.46529587243950576,-0.0041409446632907285,0.009058012074957954,13.563180639978436
full,All scored elections,1,OECD,1980s,Y_suffr,V-Dem mid-level: electoral component: Suffrage,vdem_electoral,74,74,TRUE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1980s,Y_freexp,V-Dem mid-level: electoral component: Expression & alt. info,vdem_electoral,74,74,TRUE,-Inf,-Inf,Inf,74,0.0028743487323487976,0.005336221176468849,0.590129260201273,-0.0075844525870700985,0.013333150051767693,16.69072787483494
full,All scored elections,1,OECD,1980s,Y_cl_rol,V-Dem mid-level: liberal component (see also Executive constraints),vdem_liberal,74,74,TRUE,-Inf,-Inf,Inf,74,9.395930823690004e-4,0.0042510698546315015,0.8250728997793659,-0.007392350728472662,0.009271536893210662,11.625235193479977
full,All scored elections,1,OECD,1980s,Y_cspart,V-Dem mid-level: participatory component: Civil society,vdem_particip,74,74,TRUE,-Inf,-Inf,Inf,74,0.05054461103743937,0.029319661660017583,0.08472314894491033,-0.0069208698550949285,0.10801009192997366,7.993495942663652
full,All scored elections,1,OECD,1980s,Y_dd,V-Dem mid-level: participatory component: Direct democracy,vdem_particip,74,74,TRUE,-Inf,-Inf,Inf,74,0.007494484262277914,0.018919082573992392,0.6920064732993776,-0.029586236203286504,0.044575204727842335,8.39463892544658
full,All scored elections,1,OECD,1980s,Y_locelec,V-Dem mid-level: participatory component: Local elections,vdem_particip,74,74,TRUE,-Inf,-Inf,Inf,74,-1.700179566963508e-4,7.408002157378773e-4,0.8184758021194802,-0.001621959699282092,0.0012819237858893904,7.546194082231857
full,All scored elections,1,OECD,1980s,Y_regelec,V-Dem mid-level: participatory component: Regional elections,vdem_particip,74,74,TRUE,-Inf,-Inf,Inf,74,0.0031219935932542938,0.0033128187859713916,0.34598894248067114,-0.003371011914557337,0.009614999101065926,18.002227639448204
full,All scored elections,1,OECD,1980s,Y_delib,V-Dem mid-level: deliberative and egalitarian components: Deliberation,vdem_egal_delib,74,74,TRUE,-Inf,-Inf,Inf,74,0.011321947738596207,0.010484352090068653,0.280191134571024,-0.009227004759175587,0.031870900236368,9.346913941537231
full,All scored elections,1,OECD,1980s,Y_eqprotec,V-Dem mid-level: deliberative and egalitarian components: Equal protection,vdem_egal_delib,74,74,TRUE,-Inf,-Inf,Inf,74,-0.015436547106467611,0.014322188572606403,0.28112014410178043,-0.043507520888567276,0.012634426675632054,7.7240803420007476
full,All scored elections,1,OECD,1980s,Y_eqaccess,V-Dem mid-level: deliberative and egalitarian components: Equal access,vdem_egal_delib,74,74,TRUE,-Inf,-Inf,Inf,74,0.053559897118386664,0.03384839064129741,0.1135703920583556,-0.012781729473198868,0.1199015237099722,7.048597820250231
full,All scored elections,1,OECD,1980s,Y_eqdr,V-Dem mid-level: deliberative and egalitarian components: Equal distribution,vdem_egal_delib,74,74,TRUE,-Inf,-Inf,Inf,74,0.00494373417449806,0.006237049762359996,0.4279876854978684,-0.0072806587295116305,0.01716812707850775,7.862980095031168
full,All scored elections,1,OECD,1990s,Y_gdp_growth,GDP per capita growth: PWT,growth,93,90,TRUE,-Inf,-Inf,Inf,90,0.003340585081049577,0.04602724801489822,0.9421415972914764,-0.0868711633356436,0.09355233349774275,9.723168608766253
full,All scored elections,1,OECD,1990s,Y_gdp_growth_wb,GDP per capita growth: World Bank,growth,93,90,TRUE,-Inf,-Inf,Inf,90,-0.006026410671062379,0.045674288722094475,0.895029238402079,-0.0955463715858515,0.08349355024372673,9.169751397771746
full,All scored elections,1,OECD,1990s,Y_gdp_growth_imf,GDP per capita growth: IMF WEO,growth,93,75,TRUE,-Inf,-Inf,Inf,75,-0.020901446519843228,0.05835418381378691,0.7202067544632126,-0.13527354514209572,0.09347065210240925,12.755967459085273
full,All scored elections,1,OECD,1990s,Y_inflation,Inflation,inflation,93,86,TRUE,-Inf,-Inf,Inf,86,-0.06301824516482951,0.3516459216530903,0.8577733042185396,-0.7522315869152798,0.6261950965856207,11.084006034863682
full,All scored elections,1,OECD,1990s,Y_unemployment,Unemployment,unemployment,93,71,TRUE,-Inf,-Inf,Inf,71,0.1592026400414205,1.7899955813572084,0.9291294018335103,-3.349124231904543,3.6675295119873836,10.30657920233974
full,All scored elections,1,OECD,1990s,Y_trade_pct_gdp,Trade openness,trade,93,81,TRUE,-Inf,-Inf,Inf,81,-12.420664772105866,6.594255182740181,0.059624732718220434,-25.34516743514321,0.5038378909314769,10.261958332481067
full,All scored elections,1,OECD,1990s,Y_top10_share,Top-10% income share,top10,93,91,TRUE,-Inf,-Inf,Inf,91,1.0842679641296324,1.522839280104834,0.4764621749064984,-1.9004421791187445,4.068978107378009,8.490272622624767
full,All scored elections,1,OECD,1990s,Y_gini_disp,Income inequality (Gini): Disposable,gini,93,88,TRUE,-Inf,-Inf,Inf,88,1.1552477496313238,1.0735600274589574,0.2818867827291074,-0.9488912394300635,3.259386738692711,8.147264037468867
full,All scored elections,1,OECD,1990s,Y_gini_mkt,Income inequality (Gini): Market,gini,93,88,TRUE,-Inf,-Inf,Inf,88,0.3664802597998631,0.7660196749907557,0.6323502546481584,-1.1348907146310951,1.8678512342308213,12.108205430929733
full,All scored elections,1,OECD,1990s,Y_debt,Public debt and deficit: Debt / GDP,fiscal,93,85,TRUE,-Inf,-Inf,Inf,85,0.037902666180740674,9.072214250894428,0.9966665399046709,-17.743310525603356,17.81911585796484,8.5880333026192055
full,All scored elections,1,OECD,1990s,Y_deficit,Public debt and deficit: Deficit / GDP,fiscal,93,83,TRUE,-Inf,-Inf,Inf,83,0.5560988639068929,3.949296482932376,0.8880203577561984,-7.184380006911265,8.296577734725052,12.637868046587112
full,All scored elections,1,OECD,1990s,Y_checks_balances,Executive constraints: Checks & balances,institutions,93,91,TRUE,-Inf,-Inf,Inf,91,0.012076959520821186,0.00849983526396576,0.15536144600965632,-0.004582411471075201,0.028736330512717574,7.498399475390283
full,All scored elections,1,OECD,1990s,Y_jucon,Executive constraints: Judicial constraints,institutions,93,91,TRUE,-Inf,-Inf,Inf,91,0.03426966268623612,0.030307761047929847,0.25817197279680565,-0.025132457419752285,0.09367178279222453,7.0745773920845485
full,All scored elections,1,OECD,1990s,Y_legcon,Executive constraints: Legislative constraints,institutions,93,91,TRUE,-Inf,-Inf,Inf,91,-0.008933824521241373,0.01611750231910378,0.5793780935647965,-0.04052354858742557,0.022655899544942824,7.738559525324491
full,All scored elections,1,OECD,1990s,Y_hos_power,Executive power (ET): HOS,exec_power,93,91,TRUE,-Inf,-Inf,Inf,91,0.11756811353506429,0.10154364842824644,0.2469421365234167,-0.08145378024309592,0.3165900073132245,15.60684557332941
full,All scored elections,1,OECD,1990s,Y_hog_power,Executive power (ET): HOG,exec_power,93,64,TRUE,-Inf,-Inf,Inf,64,-0.05213200961125445,0.048641795874903984,0.28383081344978794,-0.1474681776694152,0.04320415844690629,8.774127593592707
full,All scored elections,1,OECD,1990s,Y_hos_power_vdem,Executive power (V-Dem): HOS (v2ex_hosw),exec_power_alt,93,91,TRUE,-Inf,-Inf,Inf,91,0.21141370832042436,0.20759368439689355,0.3084872154134181,-0.19546243651546144,0.6182898531563101,12.38961879174791
full,All scored elections,1,OECD,1990s,Y_hog_power_vdem,Executive power (V-Dem): HOG (v2ex_hogw),exec_power_alt,93,91,TRUE,-Inf,-Inf,Inf,91,-0.10570685416021025,0.10379684219844496,0.30848721541341845,-0.30914492657814957,0.09773121825772907,12.389618791748171
full,All scored elections,1,OECD,1990s,Y_polyarchy,V-Dem high-level democracy indices: Electoral (polyarchy),vdem_high,93,91,TRUE,-Inf,-Inf,Inf,91,-0.029368977673448857,0.024587392520498463,0.2322929776462697,-0.07755938148737533,0.018821426140477618,7.6119182282618505
full,All scored elections,1,OECD,1990s,Y_libdem,V-Dem high-level democracy indices: Liberal,vdem_high,93,91,TRUE,-Inf,-Inf,Inf,91,-0.012910521667919162,0.021958780677457893,0.5565702385707773,-0.05594894094015067,0.03012789760431234,7.214965789531191
full,All scored elections,1,OECD,1990s,Y_partipdem,V-Dem high-level democracy indices: Participatory,vdem_high,93,91,TRUE,-Inf,-Inf,Inf,91,9.245599520280963e-4,0.017647730257893277,0.9582181513423624,-0.03366435576232048,0.035513475666376665,6.9769353465056945
full,All scored elections,1,OECD,1990s,Y_delibdem,V-Dem high-level democracy indices: Deliberative,vdem_high,93,91,TRUE,-Inf,-Inf,Inf,91,-0.01699707283369809,0.029674092181520412,0.5667857594874921,-0.07515722478339969,0.041163079116003504,7.541018958071914
full,All scored elections,1,OECD,1990s,Y_egaldem,V-Dem high-level democracy indices: Egalitarian,vdem_high,93,91,TRUE,-Inf,-Inf,Inf,91,-0.021189776324959043,0.026707748947422092,0.4275481187870645,-0.07353600237004386,0.031156449720125778,6.935180263050806
full,All scored elections,1,OECD,1990s,Y_elecoff,V-Dem mid-level: electoral component: Elected officials,vdem_electoral,93,91,TRUE,-Inf,-Inf,Inf,91,0.029898417372833108,0.015062595244117905,0.047150633451873716,3.762731806577213e-4,0.059420561565008495,6.164447094169099
full,All scored elections,1,OECD,1990s,Y_frefair,V-Dem mid-level: electoral component: Clean elections,vdem_electoral,93,91,TRUE,-Inf,-Inf,Inf,91,-0.035687517701592925,0.021331896778554803,0.0943341770877673,-0.07749726710948632,0.006122231706300475,7.117171471209669
full,All scored elections,1,OECD,1990s,Y_frassoc,V-Dem mid-level: electoral component: Association,vdem_electoral,93,91,TRUE,-Inf,-Inf,Inf,91,5.312210507288696e-4,0.008938870587351228,0.9526110468982627,-0.01698864336294393,0.01805108546440167,6.891121520748192
full,All scored elections,1,OECD,1990s,Y_suffr,V-Dem mid-level: electoral component: Suffrage,vdem_electoral,93,91,TRUE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1990s,Y_freexp,V-Dem mid-level: electoral component: Expression & alt. info,vdem_electoral,93,91,TRUE,-Inf,-Inf,Inf,91,-0.03609199422680024,0.03775229122963001,0.3390614775728804,-0.11008512537074239,0.0379011369171419,8.390011437409948
full,All scored elections,1,OECD,1990s,Y_cl_rol,V-Dem mid-level: liberal component (see also Executive constraints),vdem_liberal,93,91,TRUE,-Inf,-Inf,Inf,91,-0.02854466443116086,0.028250254437896843,0.3122933920173095,-0.08391414568353148,0.02682481682120976,8.802709869896598
full,All scored elections,1,OECD,1990s,Y_cspart,V-Dem mid-level: participatory component: Civil society,vdem_particip,93,91,TRUE,-Inf,-Inf,Inf,91,0.020753989511601064,0.01786050644876663,0.24523362235571802,-0.014251959873626898,0.05575993889682902,8.140876094244563
