election_id,country_name,country_text_id,election_year,election_type,running_var,illiberal_score,other_score,backsliding_Nyr,Y_gdp_growth,Y_polyarchy,ap_name,ap_abbr,ap_score,ap_share,ap_cand,op_name,op_abbr,op_score,op_share,op_cand,group,side,in_popucut,label,op_label
pres_319,Congo (DRC),COD,2011,presidential,16.624327347734983,0.984,0.734,0,0.19490455818484875,-0.046999999999999986,People's Party for Reconstruction and Democracy,PPRD,0.984,48.94941901892862,Joseph Kabila Kabang,Union for Democracy and Social Progress,UDPS,0.734,32.32509167119364,Etienne Tshisekedi,Non-OECD,won,FALSE,People's Party for Reconstruction and Democracy (PPRD),Union for Democracy and Social Progress
parl_1335,Ecuador,ECU,2009,parliamentary,32.25806451612904,0.983,0.711,0,0.20354580234666741,-0.09999999999999998,PAIS Alliance,PAIS,0.983,47.58064516129033,NA,Patriotic Society Party,PSP,0.711,15.32258064516129,NA,Non-OECD,won,FALSE,PAIS Alliance (PAIS),Patriotic Society Party
parl_2473,Kyrgyzstan,KGZ,2007,parliamentary,66.66666666666666,0.983,0.417,0,0.16788506639423595,0.136,White Path,AJ,0.983,78.88888888888889,NA,Social Democratic Party Kyrgystan,SDPK,0.417,12.222222222222221,NA,Non-OECD,won,TRUE,White Path (AJ),Social Democratic Party Kyrgystan
parl_2687,Madagascar,MDG,1989,parliamentary,81.61764705882354,0.983,0.913,0,-0.14270670677649822,0.3400000000000001,Association for the Rebirth of Madagascar,AREMA,0.983,86.76470588235294,NA,Party for Proletarian Power / Movement for the Progress of Madagascar,MFM/MPP,0.913,5.147058823529411,NA,Non-OECD,won,FALSE,Association for the Rebirth of Madagascar (AREMA),Party for Proletarian Power / Movement for the Progress of Madagascar
parl_4892,Zimbabwe,ZWE,1980,parliamentary,36.99999999999999,0.983,0.539,0,0.04056079434533988,0.148,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.983,56.99999999999999,NA,Zimbabwe African People's Union,ZAPU,0.539,20,NA,Non-OECD,won,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Zimbabwe African People's Union
pres_481,Ecuador,ECU,2009,presidential,23.66,0.983,0.711,0,0.20354580234666741,-0.09999999999999998,PAIS Alliance,PAIS,0.983,51.79,Rafael Correa,Patriotic Society Party,PSP,0.711,28.13,Lucio Gutierrez,Non-OECD,won,FALSE,PAIS Alliance (PAIS),Patriotic Society Party
pres_882,Kyrgyzstan,KGZ,2009,presidential,67.69999999999999,0.983,0.417,0,0.1247828385509191,0.14,White Path,AJ,0.983,76.1,Kurmanbek Bakiev,Social Democratic Party Kyrgystan,SDPK,0.417,8.4,Almaz Atambaev,Non-OECD,won,TRUE,White Path (AJ),Social Democratic Party Kyrgystan
pres_957,Madagascar,MDG,1989,presidential,43.400000000000006,0.983,0.913,0,-0.14270670677649822,0.3400000000000001,Association for the Rebirth of Madagascar,AREMA,0.983,62.7,Didier Ratsiraka,Party for Proletarian Power / Movement for the Progress of Madagascar,MFM/MPP,0.913,19.3,Manadafy Rakotonirina,Non-OECD,won,FALSE,Association for the Rebirth of Madagascar (AREMA),Party for Proletarian Power / Movement for the Progress of Madagascar
pres_958,Madagascar,MDG,1993,presidential,-33.484892930478146,0.983,0.461,1,-0.057679536964247546,0.22500000000000003,Association for the Rebirth of Madagascar,AREMA,0.983,33.25755353476092,Didier Ratsiraka,National Union for Democracy and Development,UNDD,0.461,66.74244646523907,Albert Zafy,Non-OECD,lost,TRUE,Association for the Rebirth of Madagascar (AREMA),National Union for Democracy and Development
pres_959,Madagascar,MDG,1996,presidential,1.4247075004619347,0.983,0.461,1,0.05388377855113369,-0.061000000000000054,Association for the Rebirth of Madagascar,AREMA,0.983,50.71235375023097,Didier Ratsiraka,National Union for Democracy and Development,UNDD,0.461,49.28764624976903,Albert Zafy,Non-OECD,won,TRUE,Association for the Rebirth of Madagascar (AREMA),National Union for Democracy and Development
parl_1692,Gambia,GMB,2007,parliamentary,79.16666666666667,0.982,0.148,0,0.00398810585658449,-0.008000000000000007,Alliance for Patriotic Reorientation and Construction,APRC,0.982,87.5,NA,United Democratic Party,UDP,0.148,8.333333333333332,NA,Non-OECD,won,TRUE,Alliance for Patriotic Reorientation and Construction (APRC),United Democratic Party
pres_610,Gambia,GMB,2011,presidential,54.169999999999995,0.982,0.148,0,-0.13059128776683515,0.006000000000000005,Alliance for Patriotic Reorientation and Construction,APRC,0.982,71.52,Yahya A. J. J. Jammeh,United Democratic Party,UDP,0.148,17.35,Ousainou Darboe,Non-OECD,won,TRUE,Alliance for Patriotic Reorientation and Construction (APRC),United Democratic Party
parl_1690,Gambia,GMB,1997,parliamentary,57.77777777777777,0.981,0.202,0,0.06110003678600329,0.126,Alliance for Patriotic Reorientation and Construction,APRC,0.981,73.33333333333333,NA,United Democratic Party,UDP,0.202,15.555555555555555,NA,Non-OECD,won,TRUE,Alliance for Patriotic Reorientation and Construction (APRC),United Democratic Party
parl_1691,Gambia,GMB,2002,parliamentary,89.58333333333333,0.981,0.022,0,-0.050418171665902456,-0.015000000000000013,Alliance for Patriotic Reorientation and Construction,APRC,0.981,93.75,NA,People's Democratic Organisation for Independence and Socialism,PDOIS,0.022,4.166666666666666,NA,Non-OECD,won,TRUE,Alliance for Patriotic Reorientation and Construction (APRC),People's Democratic Organisation for Independence and Socialism
parl_1896,Guinea,GIN,1995,parliamentary,45.61403508771931,0.981,0.725,0,0.12630104772922657,0.08700000000000002,Unity and Progress Party,PUP,0.981,62.28070175438597,NA,Rally of the People of Guinea Rainbow,RPG,0.725,16.666666666666664,NA,Non-OECD,won,FALSE,Unity and Progress Party (PUP),Rally of the People of Guinea Rainbow
parl_1897,Guinea,GIN,2002,parliamentary,57.01754385964912,0.981,0.76,0,0.05423673102593263,-0.006000000000000005,Unity and Progress Party,PUP,0.981,74.56140350877193,NA,Union for Progress and Renewal,UPR,0.76,17.543859649122805,NA,Non-OECD,won,FALSE,Unity and Progress Party (PUP),Union for Progress and Renewal
parl_2132,Iran,IRN,1971,parliamentary,71.64179104477611,0.981,0.98,0,0.3780219843207817,-0.006000000000000005,Iran Novin Party,INP,0.981,85.44776119402985,NA,People's Party,Mardom,0.98,13.805970149253731,NA,Non-OECD,won,FALSE,Iran Novin Party (INP),People's Party
pres_608,Gambia,GMB,2001,presidential,20.29,0.981,0.202,0,-0.022219705726622685,-0.0040000000000000036,Alliance for Patriotic Reorientation and Construction,APRC,0.981,52.96,Yahya A.J. Jammeh,United Democratic Party,UDP,0.202,32.67,Ousainou Darbou,Non-OECD,won,TRUE,Alliance for Patriotic Reorientation and Construction (APRC),United Democratic Party
pres_676,Guinea,GIN,1998,presidential,31.48,0.981,0.76,0,0.10440516992456583,0.015000000000000013,Unity and Progress Party,PUP,0.981,56.11,Lansana Conte,Union for Progress and Renewal,UPR,0.76,24.63,Mamadou Boye Ba,Non-OECD,won,FALSE,Unity and Progress Party (PUP),Union for Progress and Renewal
parl_4869,Zambia,ZMB,2016,parliamentary,14.102564102564095,0.98,0.687,0,-0.03639138791110064,-0.03700000000000003,Patriotic Front,PF,0.98,51.28205128205128,NA,United Party for National Development,UPND,0.687,37.17948717948718,NA,Non-OECD,won,FALSE,Patriotic Front (PF),United Party for National Development
parl_4870,Zambia,ZMB,2021,parliamentary,-14.102564102564102,0.98,0.457,0,NA,NA,Patriotic Front,PF,0.98,38.46153846153847,NA,United National Independence Party,UNIP,0.457,52.56410256410257,NA,Non-OECD,lost,TRUE,Patriotic Front (PF),United National Independence Party
pres_1581,Zambia,ZMB,2016,presidential,2.7201809665801733,0.98,0.687,0,-0.03639138791110064,-0.03700000000000003,Patriotic Front,PF,0.98,50.352354486688625,Edgar Lungu,United Party for National Development,UPND,0.687,47.63217352010845,Hakainde Hichilema,Non-OECD,won,FALSE,Patriotic Front (PF),United Party for National Development
pres_1582,Zambia,ZMB,2021,presidential,-20.310700110888945,0.98,0.687,0,NA,NA,Patriotic Front,PF,0.98,38.710360926037545,Edgar Lungu,United Party for National Development,UPND,0.687,59.02106103692649,Hakainde Hichilema,Non-OECD,lost,FALSE,Patriotic Front (PF),United Party for National Development
parl_556,Bolivia,BOL,2019,parliamentary,13.076923076923066,0.979,0.2,0,NA,-0.016000000000000014,Movement for Socialism,MAS,0.979,51.53846153846153,NA,Civic Community,CC,0.2,38.46153846153847,NA,Non-OECD,won,TRUE,Movement for Socialism (MAS),Civic Community
pres_132,Bolivia,BOL,2019,presidential,9.8105774858062,0.979,0.2,0,NA,-0.016000000000000014,Movement for Socialism,MAS,0.979,46.64239235504061,Juan Evo Morales Ayma,Civic Community,CC,0.2,36.831814869234414,Carlos Diego Mesa Gisbert,Non-OECD,won,TRUE,Movement for Socialism (MAS),Civic Community
pres_133,Bolivia,BOL,2020,presidential,26.271205841137768,0.979,0.2,0,NA,0.14899999999999997,Movement for Socialism,MAS,0.979,55.10530488401842,Luis Alberto Arce Catacora,Civic Community,CC,0.2,28.834099042880656,Carlos Diego Mesa Gisbert,Non-OECD,won,TRUE,Movement for Socialism (MAS),Civic Community
parl_3880,Serbia,SRB,2003,parliamentary,11.600000000000005,0.978,0.24,0,0.3720049361705211,0.018000000000000016,Serbian Radical Party,SRS,0.978,32.800000000000004,NA,Democratic Party of Serbia,DSS,0.24,21.2,NA,Non-OECD,won,TRUE,Serbian Radical Party (SRS),Democratic Party of Serbia
pres_1303,Serbia,SRB,2004,presidential,-7.942621572244917,0.978,0.145,0,0.3018598658409921,-0.02300000000000002,Serbian Radical Party,SRS,0.978,46.02868921387754,Tomislav Nikolic,Democratic Party,DS,0.145,53.97131078612246,Boris Tadic,Non-OECD,lost,TRUE,Serbian Radical Party (SRS),Democratic Party
parl_1348,Egypt,EGY,1979,parliamentary,78.79581151832461,0.977,0.46,0,0.30001075997890503,0.008000000000000007,National Democratic Party,NDP,0.977,86.38743455497382,NA,Socialist Labor Party,SLP,0.46,7.591623036649215,NA,Non-OECD,won,TRUE,National Democratic Party (NDP),Socialist Labor Party
parl_624,Brazil,BRA,1970,parliamentary,43.87096774193549,0.977,0.254,0,0.43539614340175525,0.010000000000000009,National Renewal Alliance,ARENA,0.977,71.93548387096774,NA,Brazilian Democratic Movement,MDB,0.254,28.064516129032256,NA,Non-OECD,won,TRUE,National Renewal Alliance (ARENA),Brazilian Democratic Movement
