pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R2 x R3,q80 (≥ 0.9),q60 (≥ 1.44),180,10,0.2241511910450721,0.24113226377470054,0.35258974380404035,180,-0.32923945224486695,0.1855478480888213,0.0759940250898957,-1.863894015072611,2.221751964138467,0.4015086828367723
R2 x R3,q80 (≥ 0.9),q80 (≥ 2.09),102,8,0.11644551459324648,0.4114354537399735,0.7771595448416603,102,0.14709723329866603,0.11683349322868224,0.2080183822666114,-1.6257212381145862,11.489959282193935,0.8874823850879736
R2 x R4,all,all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R2 x R4,all,no prior episode,1242,135,-0.022289764238674792,0.0637720141669359,0.7266969595033483,1242,-0.04686101037075939,0.03109412934135814,0.13179287324789274,1.1683645577029618,3.4382252629326726,0.7339949661266993
R2 x R4,q20 (≥ 0.144),all,1077,139,-0.002641678027845068,0.07322425812263729,0.9712213268747831,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,-15.623774867609544,51.42939480184412,0.7612873076860905
R2 x R4,q20 (≥ 0.144),no prior episode,974,132,0.007358293346976158,0.08412067381690758,0.9302954926802443,974,-0.05272842134057283,0.04078913079684915,0.1961121915805233,-14.676281034584825,107.71572917742792,0.8916235544694454
R2 x R4,q40 (≥ 0.405),all,809,120,0.0013694371647924586,0.09190131222066285,0.9881110257362551,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-3.3357075344027267,9.524795477015843,0.7261788247474565
R2 x R4,q40 (≥ 0.405),no prior episode,717,113,0.008033135350969167,0.1131085553716644,0.9433806717136997,717,-0.06928451259498143,0.05500917208849453,0.20784676943425365,-2.138103193501486,3.5965251198051327,0.5521835038016738
R2 x R4,q60 (≥ 0.705),all,542,70,0.13042141341392957,0.11018856296043109,0.23656342442017378,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-0.9741178719713199,0.7781538245384707,0.2106310808189595
R2 x R4,q60 (≥ 0.705),no prior episode,479,66,0.14205165340352832,0.12428756383042328,0.2530687645236667,479,-0.16327330334382184,0.10153772906206666,0.10783380908894083,-0.6760462763507132,0.5141540717625872,0.18855326196910532
