subset,subset_label,window,treatment,outcome,outcome_label,panel,n_elections,first_stage_coef,first_stage_se,first_stage_pval,n_first_stage,n_outcome,rd_estimate,rd_se,rd_pval,rd_ci_lo,rd_ci_hi,bandwidth,late_estimate,late_se,late_pval,late_ci_lo,late_ci_hi
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_cspart,V-Dem mid-level: participatory component: Civil society,vdem_particip,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.04727388412427004,0.03462070522972349,0.17210220273041762,-0.11512921949390556,0.02058145124536548,14.312219307242355,-0.2760036160145145,0.40512916012636035,0.4956986742389904,-1.0700421789491412,0.5180349469201121
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_dd,V-Dem mid-level: participatory component: Direct democracy,vdem_particip,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.037648797738477,0.06194076455798836,0.543307267557364,-0.15905046544700918,0.08375286997005518,18.20797428816567,-0.15409142378226656,0.5652293061550617,0.7851472264294022,-1.261920506852751,0.9537376592882179
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_locelec,V-Dem mid-level: participatory component: Local elections,vdem_particip,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,440,-0.09904798909499392,0.0948919367280576,0.29657897747860124,-0.2850327675052403,0.08693678931525249,15.579773284705901,-0.5491779179903122,0.8127926015758328,0.49925148348216813,-2.1422221439795575,1.043866307998933
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_regelec,V-Dem mid-level: participatory component: Regional elections,vdem_particip,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,446,-0.11829341798518014,0.07043731588680814,0.09307137683161663,-0.256348020290995,0.019761184320634756,23.72352706649617,-0.4644420883457978,1.0885510365943494,0.6696263847109948,-2.597962915404464,1.6690787387128685
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_delib,V-Dem mid-level: deliberative and egalitarian components: Deliberation,vdem_egal_delib,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.044932830393719106,0.04715389987339164,0.34064203816988237,-0.1373527758761745,0.04748711508873629,14.269517201873606,-0.24883646297688555,0.32063350969863263,0.43770320871524904,-0.8772665942228794,0.37959366826910834
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_eqprotec,V-Dem mid-level: deliberative and egalitarian components: Equal protection,vdem_egal_delib,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.02024910530059229,0.03330152240108302,0.5431520301588264,-0.08551888983706882,0.04502067923588424,16.23009862893146,-0.12714258458320943,0.317832770322907,0.6891345563361506,-0.7500833675226979,0.4957981983562791
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_eqaccess,V-Dem mid-level: deliberative and egalitarian components: Equal access,vdem_egal_delib,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,0.0020031246247878,0.03004511337562999,0.9468439694594453,-0.05688421550286961,0.06089046475244521,15.473446627876525,0.005511590870546625,0.18259353686286536,0.9759194896817618,-0.3523651651904561,0.36338834693154937
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_eqdr,V-Dem mid-level: deliberative and egalitarian components: Equal distribution,vdem_egal_delib,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,0.005415409726283034,0.026235856127409432,0.8364686755260102,-0.046005923387013925,0.05683674283958,16.08931707413184,0.01537069773581215,0.21544485131197175,0.9431239765138942,-0.40689345149023937,0.4376348469618636
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_gdp_growth,GDP per capita growth: PWT,growth,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,641,-0.04626406015696405,0.0372153500378234,0.21381456589217943,-0.11920480590314922,0.026676685589221122,16.74438596720678,0.714449172163837,3.6824753505644803,0.8461654727199655,-6.503069888899051,7.931968233226725
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_gdp_growth_wb,GDP per capita growth: World Bank,growth,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,659,-0.04890947968052786,0.035474998298588085,0.1679864041531689,-0.11843919869738018,0.020620239336324453,15.259657441925336,0.46346648905801624,0.9675693180368996,0.6319380509539156,-1.4329345268402875,2.35986750495632
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_gdp_growth_imf,GDP per capita growth: IMF WEO,growth,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,504,-0.029362430131024658,0.032450856927127084,0.3655567414857504,-0.09296494097565584,0.03424008071360653,20.203420652695105,0.4860002988317536,3.1147040435267987,0.8760060775428294,-5.618707448982047,6.590708046645554
