pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R1 x R3,q40 (≥ 0.09),q20 (≥ 0.254),809,126,-0.03652768652141092,0.08151564777925525,0.6540763823597087,809,-0.06919953977244996,0.04566882455971993,0.12970991808687543,0.856324874648843,1.781093222843414,0.6306685261814815
R1 x R3,q40 (≥ 0.09),q40 (≥ 0.834),691,106,-0.05310974067037044,0.08393639196993362,0.5269047824042579,691,-0.08028839598129511,0.057701518801418196,0.1640910197591846,0.8956737168953196,3.0507826950735657,0.7690726144890832
R1 x R3,q40 (≥ 0.09),q60 (≥ 1.44),470,63,0.006306002141577921,0.12929910884358226,0.9611020687926175,470,-0.10019936948921054,0.078822942281261,0.2036591072463304,0.6149509256829179,9.625723499661586,0.9490608382334449
R1 x R3,q40 (≥ 0.09),q80 (≥ 2.09),238,39,0.08182514073218863,0.17547394494238977,0.6409940890209755,238,-0.09312071023799826,0.08269109260707122,0.26011157156003384,-1.984036129799727,2.873792280991521,0.4899492531051076
R1 x R3,q60 (≥ 0.199),all,539,89,-0.0791614384316979,0.10095749862045747,0.43297757790562824,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,0.6632255182946202,1.3113443212217921,0.6130251342983857
R1 x R3,q60 (≥ 0.199),q20 (≥ 0.254),539,89,-0.0791614384316979,0.10095749862045747,0.43297757790562824,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,0.6632255182946202,1.3113443212217921,0.6130251342983857
R1 x R3,q60 (≥ 0.199),q40 (≥ 0.834),523,83,-0.03920663762690371,0.11002313828793846,0.7215792020172955,523,-0.07058823679320066,0.06203660903308959,0.2551839222799839,0.400788105871438,7.514045624443838,0.9574621858427261
R1 x R3,q60 (≥ 0.199),q60 (≥ 1.44),401,56,-0.03642737357387826,0.1378832033499274,0.7916334599237044,401,-0.060040008693321406,0.07714041261372005,0.43637975556995245,0.3245452283388935,3.3584756832648512,0.9230165134333295
R1 x R3,q60 (≥ 0.199),q80 (≥ 2.09),208,34,0.01824236173957869,0.19702430313307548,0.9262297662472829,208,-0.013485167080902277,0.07827936332141153,0.8632254574573444,-1.7369899426176247,3.854255001416669,0.6522287461811024
R1 x R3,q80 (≥ 0.437),all,271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
