group,decade,cell,n_cell,n_usable,fitted,form,score,score_label,n,est,se,pval,ci_lo,ci_hi,bw
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),66,-0.8531952865930583,0.17638539039790158,1.317414657991685e-6,-1.1989042991719825,-0.5074862740141343,27.966034094919728
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),66,-0.3360905673555868,0.2490948873082892,0.1772575940464072,-0.8243075752128968,0.15212644050172325,34.322845023602014
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),66,-1.3727076870131985,1.3270480340700206,0.30094596458043404,-3.9736740395451204,1.2282586655187235,33.93987533815305
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),66,-1.622833700732751,1.199119845789779,0.17594254929544684,-3.9730654116279402,0.7273980101624384,34.3099354042046
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),66,-1.2954188711649057,0.9409991577077876,0.16862298889664876,-3.1397433297546953,0.5489055874248838,27.578279882190394
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),105,-1.1452632253438915,0.10857317764512583,5.172054438508993e-26,-1.3580627432154073,-0.9324637074723756,12.543006170880538
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),105,-0.7064834382391997,0.25622484408072344,0.005828455802397585,-1.2086749045818084,-0.2042919718965911,23.003382702997275
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),105,-1.1263638347381808,0.10974126893795697,1.025749234328838e-24,-1.3414527694743006,-0.911274900002061,12.884230944094366
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),105,-0.5045998063420969,0.2720986347219033,0.06367139604407157,-1.037903330639547,0.028703717955353314,20.367944730916552
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),105,-0.17526626934282294,0.13608628042688956,0.19777885992021665,-0.4419904777695445,0.09145793908389857,21.458265799758337
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),105,-1.3571368769450696,0.9376274676034996,0.14778048353119236,-3.1948529443634244,0.48057919047328523,20.85713642747468
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),105,-1.269685534536964,0.7356453104016994,0.0843567725110151,-2.711523848320083,0.17215277924615524,21.445156540346204
Non-OECD,1980s,Non-OECD 1980s,105,105,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),105,-1.345442043210333,0.7619222857715657,0.07742067063172595,-2.838782282341036,0.14789819592037023,26.1535813161442
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),202,-0.6520731352765616,0.1940311574192305,7.775591965367154e-4,-1.0323672156968748,-0.2717790548562483,19.61462815957954
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),202,-0.42482917129999886,0.21658261622246888,0.04981944999308054,-0.8493232987734982,-3.350438264995703e-4,22.90070037713953
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),202,-0.6339239480453895,0.2132605506986964,0.0029535380322698677,-1.0519069467380127,-0.21594094935276648,24.59231947788868
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),202,-0.6572778660043661,0.20162011167601368,0.001114194188891831,-1.0524460234482964,-0.2621097085604358,20.68596484323589
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),202,-0.21824750734440057,0.11621283028390206,0.06038138630827104,-0.4460204692423142,0.009525454553513085,24.901103444670163
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),202,-0.46037114582533945,0.6917389790632587,0.5057133152911053,-1.8161546314918324,0.8954123398411535,27.69843311288801
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),202,-1.9070411063037578,0.6159282503476751,0.001960137451579038,-3.1142382940459705,-0.699843918561545,19.816451511783264
Non-OECD,1990s,Non-OECD 1990s,202,202,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),202,-0.9625855948722847,0.4827114895601742,0.04613872492915838,-1.9086827293339081,-0.01648846041066132,23.31080807744635
