window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
6,backsliding_union_Nyr,Y_hog_power,HOG,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,637,-0.00376851506079476,0.01151661031192367,0.7434982223852846,0.1615463054339795,1.8905945793823695,0.9319057472636982,26.792029966494365
6,backsliding_union_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,0.0333761819940559,0.02885550922238375,0.24740890867865076,-2.2294495576384254,5.334096444946463,0.6759749089999034,23.043362252191095
6,backsliding_union_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,-0.02556346473716058,0.02912590484579033,0.3801129174346861,1.543546637126726,3.3351778266077123,0.6435020700255849,24.81622649830038
6,polyarchy_decline,Y_gdp_growth,PWT,growth,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1179,-0.0598856844133499,0.03090805298367139,0.05267899169082812,-4.744888141786929,4.555895702297905,0.2976514168451104,18.52267608301926
6,polyarchy_decline,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1204,-0.04411933069393768,0.02869213671262985,0.12412682570182045,-3.2324711663504075,3.4556823280571045,0.34957833336810845,18.470761767237704
6,polyarchy_decline,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,919,-0.05115147621661951,0.0256043350168021,0.04574200849824299,-1075.9563519983435,5134.415389197076,0.8340128860460445,18.58955743536624
6,polyarchy_decline,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1097,-0.04605268139537144,0.23193532486303947,0.8426082839674014,-4.289183531289591,9.997667338098958,0.6679098135019242,25.94927152495004
6,polyarchy_decline,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,854,0.38176079960490616,0.6009708420778904,0.5252718100511453,120.6720406225988,775.6904601773858,0.8763741322784929,20.66658526908452
6,polyarchy_decline,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1082,-1.0888249780448351,2.965225566110232,0.7134713107740982,-65.38311738937568,162.1352858536822,0.6867549592238655,19.530741139337653
6,polyarchy_decline,Y_top10_share,Top-10% income share,top10,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1116,-0.8132372866655648,0.6097836691938822,0.18231896674226003,-525.964159676182,936.0709377070732,0.5741944172729119,19.48773066755824
