country_name,aut_ep_id,ep_start,ep_end,start_year_used,outcome_label,prch_label,miss_reason
Zimbabwe,ZWE_1978_1978,1978,1978,1978,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Burkina Faso,BFA_1980_1981,1980,1981,1980,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Liberia,LBR_1980_1981,1980,1981,1980,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Suriname,SUR_1980_1981,1980,1981,1980,Democratic breakdown,Yes,No election in the pre-episode window
Türkiye,TUR_1980_1981,1980,1981,1980,Democratic breakdown,Yes,Matched
Ghana,GHA_1981_1982,1981,1982,1981,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Bangladesh,BGD_1982_1983,1982,1983,1982,Autocracy deepening,No,Matched
Nigeria,NGA_1983_1984,1983,1984,1983,Autocracy deepening,No,Matched
Kuwait,KWT_1986_1986,1986,1986,1986,Autocracy deepening,No,Country has no elections in the spine at all
Burundi,BDI_1987_1988,1987,1988,1987,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Fiji,FJI_1987_1988,1987,1988,1987,Democratic breakdown,Yes,Matched
Sudan,SDN_1989_1990,1989,1990,1989,Autocracy deepening,No,Matched
Peru,PER_1990_1992,1990,1992,1990,Democratic breakdown,Yes,Matched
Estonia,EST_1991_1992,1991,1992,1991,Democratic breakdown,Yes,Matched
Suriname,SUR_1991_1991,1991,1991,1991,Autocracy deepening,No,No election in the pre-episode window
Thailand,THA_1991_1991,1991,1991,1991,Autocracy deepening,No,Matched
Algeria,DZA_1992_1993,1992,1993,1992,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Haiti,HTI_1992_1992,1992,1992,1992,Autocracy deepening,No,Matched
Tajikistan,TJK_1992_1995,1992,1995,1992,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
