instrument,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
v2pariglef_neg,backsliding_union_Nyr,Y_debt,Debt / GDP,fiscal,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,585,-6.79182986244839,14.30539187767183,0.6349479801011584,-53.23992158152935,135.5208669874455,0.6944272806198906,23.48166545152125
v2pariglef_neg,backsliding_union_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,505,-0.4274245754573568,1.5225045527367511,0.778911515555447,-6.077139468268367,17.648719810090338,0.7305914882466382,23.080392753325313
v2pariglef_neg,backsliding_union_Nyr,Y_checks_balances,Checks & balances,institutions,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,625,0.01166360645553028,0.02264363393531141,0.6064871353774339,0.06739052642784804,0.15677338404931335,0.6672978573256634,18.88809281693642
v2pariglef_neg,backsliding_union_Nyr,Y_jucon,Judicial constraints,institutions,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,640,0.00495726766145053,0.01984112039602881,0.8027047649529884,0.01592974949751442,0.1264805955787741,0.8997745170760626,19.578273673366933
v2pariglef_neg,backsliding_union_Nyr,Y_legcon,Legislative constraints,institutions,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,625,0.02655210328889326,0.02956310229609212,0.3691055322179572,0.13809246161161398,0.21237396484388268,0.5155420279558127,18.44951753003878
v2pariglef_neg,backsliding_union_Nyr,Y_hos_power,HOS,exec_power,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,640,-0.0117496499424808,0.02027250359326529,0.5621941465768026,-0.04486410746129311,0.11441682679130198,0.6949761285798066,17.264863753095206
v2pariglef_neg,backsliding_union_Nyr,Y_hog_power,HOG,exec_power,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,357,-0.00201557360547791,0.01071484644702799,0.8507901412135308,-8.134215000001749e-4,0.04040622009269616,0.9839387940617856,16.231280659294953
v2pariglef_neg,backsliding_union_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,640,-0.01297511234291675,0.02592137956382316,0.6166833562364453,-0.0775812073584254,0.12878513724272564,0.5469025323652835,15.132283528137435
v2pariglef_neg,backsliding_union_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,640,0.01327876704007339,0.02072080182877475,0.5216251239804492,0.06387104095980684,0.09590614116026974,0.5054274225960526,14.894883367078986
v2pariglef_neg,polyarchy_decline,Y_gdp_growth,PWT,growth,instr-econleft_w5_trt-polyarchy_gapany_illib0p818,polyarchy_decline,640,0.00160618201296835,0.9318866836768293,590,-0.02749351226016558,0.04174633675856655,0.5101622813452436,-1.7377130004517571,6.9856311733597956,0.8035500451654437,17.06496353094688
