vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
ideology_wikipedia,TRUE,Non-OECD,1970s,1970,christian_democracy,23,14,0.5466521739130434,0.3381304347826087,7
ideology_wikipedia,FALSE,Non-OECD,1970s,1970,liberal_conservatism,18,10,0.6652777777777777,0.2781666666666667,14
ideology_wikipedia,TRUE,Non-OECD,1980s,1980,conservatism,78,37,0.7137820512820513,0.22353846153846155,2
ideology_wikipedia,FALSE,Non-OECD,1980s,1980,republicanism,17,7,0.7580588235294118,0.37729411764705884,21
ideology_wikipedia,TRUE,Non-OECD,1980s,1980,anti_communism,37,18,0.7521621621621621,0.30445945945945946,5
ideology_wikipedia,FALSE,Non-OECD,1980s,1980,national_conservatism,18,10,0.7603333333333333,0.3007222222222222,17
ideology_wikipedia,TRUE,Non-OECD,1980s,1980,social_conservatism,35,17,0.7045714285714286,0.3508,6
ideology_wikipedia,FALSE,Non-OECD,1980s,1980,christian_democracy,33,15,0.5107272727272727,0.33345454545454545,10
ideology_wikipedia,FALSE,Non-OECD,1980s,1980,liberal_conservatism,26,16,0.5812692307692308,0.26665384615384613,9
ideology_wikipedia,FALSE,Non-OECD,1990s,1990,republicanism,22,12,0.5496363636363636,0.44481818181818183,21
ideology_wikipedia,FALSE,Non-OECD,1990s,1990,anti_communism,51,22,0.5556862745098039,0.35190196078431374,12
ideology_wikipedia,FALSE,Non-OECD,1990s,1990,national_conservatism,33,19,0.5773333333333334,0.27599999999999997,14
ideology_wikipedia,TRUE,Non-OECD,1990s,1990,social_conservatism,66,33,0.5890909090909091,0.37612121212121213,6
ideology_wikipedia,FALSE,Non-OECD,1990s,1990,conservative_liberalism,19,11,0.4315263157894737,0.3072105263157895,25
ideology_wikipedia,TRUE,Non-OECD,1990s,1990,christian_democracy,86,42,0.3525581395348837,0.27606976744186046,4
ideology_wikipedia,FALSE,Non-OECD,1990s,1990,neoliberalism,15,9,0.6340666666666667,0.30633333333333335,28
ideology_wikipedia,TRUE,Non-OECD,2000s,2000,social_conservatism,97,53,0.5767319587628866,0.39729896907216494,5
ideology_wikipedia,FALSE,Non-OECD,2000s,2000,anti_communism,38,20,0.49226315789473685,0.4100263157894737,16
ideology_wikipedia,FALSE,Non-OECD,2000s,2000,social_liberalism,55,28,0.3069272727272727,0.37276363636363635,11
ideology_wikipedia,FALSE,Non-OECD,2000s,2000,progressivism,40,24,0.354375,0.582175,13
ideology_wikipedia,TRUE,Non-OECD,1980s,1980,liberalism,40,21,0.45855,0.40165,4
ideology_wikipedia,TRUE,Non-OECD,1990s,1990,liberalism,73,39,0.39686301369863014,0.4344383561643836,5
ideology_wikipedia,FALSE,Non-OECD,2010s,2010,communism,22,12,0.7377272727272727,0.664,28
ideology_wikipedia,FALSE,Non-OECD,2010s,2010,marxism_leninism,27,14,0.6621111111111111,0.5596666666666666,24
ideology_wikipedia,FALSE,Non-OECD,2010s,2010,pan_africanism,31,17,0.7265806451612903,0.44725806451612904,17
ideology_wikipedia,FALSE,Non-OECD,2010s,2010,left_wing_populism,31,16,0.5296451612903226,0.6685806451612903,19
ideology_wikipedia,FALSE,OECD,1990s,1990,neoliberalism,17,8,0.46258823529411763,0.30764705882352944,18
