score_y,score_x,vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1970s,1970,national_conservatism,17,7,1.930235294117647,0.3631764705882353,12
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1990s,1990,national_conservatism,43,22,1.4777674418604652,0.35832558139534887,6
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2000s,2000,national_conservatism,46,22,1.4530217391304348,0.3148695652173913,7
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,national_conservatism,54,26,1.529962962962963,0.45016666666666666,7
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2000s,2000,social_liberalism,24,14,-0.17737499999999998,0.06745833333333333,12
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,social_liberalism,27,17,-0.23155555555555554,0.07907407407407407,15
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1970s,1970,communism,19,11,-3.087842105263158,0.5207894736842105,8
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1970s,1970,marxism_leninism,16,10,-3.175875,0.6485,9
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,left_wing_populism,26,11,-2.189192307692308,0.16299999999999998,17
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,conservatism,58,29,1.007551724137931,0.22160344827586206,4
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,social_conservatism,52,29,-0.12657692307692311,0.2679423076923077,6
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1990s,1990,right_wing_populism,52,23,1.4025192307692307,0.37584615384615383,5
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1990s,1990,economic_liberalism,38,18,1.392921052631579,0.15397368421052632,8
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1990s,1990,pro_europeanism,62,28,0.11390322580645165,0.144241935483871,4
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,right_wing_populism,78,39,1.3488205128205129,0.44496153846153846,2
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,euroscepticism,33,17,0.3760606060606061,0.38327272727272726,14
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1990s,1990,green_politics,27,13,-1.4696296296296296,0.030407407407407407,12
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1970s,1970,social_democracy,84,33,-1.324797619047619,0.1564047619047619,1
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1980s,1980,social_democracy,78,32,-1.1782564102564101,0.15273076923076923,1
